ACCIDENT_NO,SEVERITY,SPEED_ZONE,Region,Order1,Order2,Order3,Order
T20130013732,Serious,60 km/hr,Metro,,2,,2
T20130013736,Serious,60 km/hr,Metro,,2,,2
T20130013737,Serious,50 km/hr,Metro,,2,,2
T20130013738,Serious,110 km/hr,Country,,2,,2
T20130013739,Minor,50 km/hr,Metro,1,,,1
T20130013740,Serious,100 km/hr,Country,,2,,2
T20130013742,Minor,80 km/hr,Metro,1,,,1
T20130013743,Minor,60 km/hr,Metro,1,,,1
T20130013744,Minor,60 km/hr,Metro,1,,,1
T20130013746,Minor,60 km/hr,Metro,1,,,1
T20130013749,Minor,50 km/hr,Metro,1,,,1
T20130013751,Serious,80 km/hr,Metro,,2,,2
T20130013752,Minor,70 km/hr,Metro,1,,,1
T20130013753,Minor,60 km/hr,Country,1,,,1
T20130013754,Serious,60 km/hr,Metro,,2,,2
T20130013755,Minor,80 km/hr,Metro,1,,,1
T20130013758,Minor,50 km/hr,Metro,1,,,1
T20130013760,Serious,40 km/hr,Metro,,2,,2
T20130013761,Serious,60 km/hr,Metro,,2,,2
T20130013764,Minor,60 km/hr,Metro,1,,,1
T20130013769,Serious,60 km/hr,Metro,,2,,2
T20130013770,Minor,70 km/hr,Metro,1,,,1
T20130013772,Serious,80 km/hr,Metro,,2,,2
T20130013773,Minor,100 km/hr,Country,1,,,1
T20130013776,Minor,50 km/hr,Metro,1,,,1
T20130013777,Serious,60 km/hr,Metro,,2,,2
T20130013608,Serious,80 km/hr,Metro,,2,,2
T20130013611,Minor,50 km/hr,Country,1,,,1
T20130013617,Serious,80 km/hr,Metro,,2,,2
T20130013620,Serious,100 km/hr,Country,,2,,2
T20130013621,Minor,100 km/hr,Country,1,,,1
T20130013622,Minor,60 km/hr,Metro,1,,,1
T20130013630,Minor,110 km/hr,Country,1,,,1
T20130013638,Serious,80 km/hr,Country,,2,,2
T20130013641,Fatal,70 km/hr,Country,,,3,3
T20130013644,Fatal,50 km/hr,Metro,,,3,3
T20130013647,Serious,60 km/hr,Metro,,2,,2
T20130013649,Minor,60 km/hr,Metro,1,,,1
T20130013650,Minor,60 km/hr,Metro,1,,,1
T20130013652,Minor,60 km/hr,Country,1,,,1
T20130013654,Minor,60 km/hr,Country,1,,,1
T20130013655,Minor,80 km/hr,Country,1,,,1
T20130013656,Serious,60 km/hr,Metro,,2,,2
T20130013657,Minor,80 km/hr,Metro,1,,,1
T20130013658,Minor,50 km/hr,Metro,1,,,1
T20130013659,Serious,80 km/hr,Country,,2,,2
T20130013662,Minor,70 km/hr,Metro,1,,,1
T20130013668,Minor,60 km/hr,Metro,1,,,1
T20130013669,Serious,50 km/hr,Metro,,2,,2
T20130013671,Serious,60 km/hr,Metro,,2,,2
T20130013672,Serious,60 km/hr,Metro,,2,,2
T20130013675,Serious,50 km/hr,Country,,2,,2
T20130013678,Serious,80 km/hr,Country,,2,,2
T20130013681,Serious,80 km/hr,Metro,,2,,2
T20130013687,Minor,60 km/hr,Metro,1,,,1
T20130013688,Minor,60 km/hr,Country,1,,,1
T20130013690,Minor,60 km/hr,Metro,1,,,1
T20130013693,Minor,60 km/hr,Metro,1,,,1
T20130013706,Serious,40 km/hr,Metro,,2,,2
T20130013709,Serious,70 km/hr,Metro,,2,,2
T20130013712,Minor,50 km/hr,Country,1,,,1
T20130013716,Minor,50 km/hr,Country,1,,,1
T20130013718,Minor,60 km/hr,Metro,1,,,1
T20130013719,Serious,Not known,Metro,,2,,2
T20130013730,Minor,100 km/hr,Metro,1,,,1
T20130013838,Minor,110 km/hr,Metro,1,,,1
T20130013840,Serious,80 km/hr,Metro,,2,,2
T20130013845,Serious,60 km/hr,Metro,,2,,2
T20130013848,Minor,80 km/hr,Metro,1,,,1
T20130013849,Minor,70 km/hr,Metro,1,,,1
T20130013852,Serious,70 km/hr,Country,,2,,2
T20130013856,Serious,80 km/hr,Metro,,2,,2
T20130013859,Minor,50 km/hr,Metro,1,,,1
T20130013869,Serious,50 km/hr,Country,,2,,2
T20130013874,Minor,60 km/hr,Metro,1,,,1
T20130013877,Serious,60 km/hr,Metro,,2,,2
T20130013885,Serious,70 km/hr,Country,,2,,2
T20130013888,Minor,50 km/hr,Country,1,,,1
T20130014022,Serious,60 km/hr,Metro,,2,,2
T20130014024,Minor,50 km/hr,Country,1,,,1
