ACCIDENT_TIME,DAY_OF_WEEK,LGA_NAME,Time,Region
18:30:00,Monday,MELBOURNE,18,Metro
16:40:00,Tuesday,WHITEHORSE,16,Metro
13:15:00,Tuesday,BRIMBANK,13,Metro
16:45:00,Tuesday,MITCHELL,16,Country
15:48:00,Tuesday,MELBOURNE,15,Metro
13:40:00,Tuesday,BAW BAW,13,Country
16:10:00,Tuesday,BAYSIDE,16,Metro
17:50:00,Tuesday,BOROONDARA,17,Metro
17:30:00,Tuesday,BOROONDARA,17,Metro
17:35:00,Tuesday,WHITEHORSE,17,Metro
16:20:00,Tuesday,BANYULE,16,Metro
16:30:00,Tuesday,HUME,16,Metro
17:38:00,Tuesday,WHITTLESEA,17,Metro
19:50:00,Tuesday,GREATER GEELONG,19,Country
17:35:00,Tuesday,BANYULE,17,Metro
18:19:00,Monday,HOBSONS BAY,18,Metro
20:20:00,Tuesday,NILLUMBIK,20,Metro
13:30:00,Tuesday,MELBOURNE,13,Metro
18:05:00,Tuesday,PORT PHILLIP,18,Metro
16:00:00,Tuesday,DAREBIN,16,Metro
0:54:00,Wednesday,YARRA,0,Metro
10:50:00,Tuesday,PORT PHILLIP,10,Metro
12:45:00,Tuesday,WHITEHORSE,12,Metro
6:10:00,Wednesday,LATROBE,6,Country
8:35:00,Wednesday,MOONEE VALLEY,8,Metro
8:40:00,Wednesday,PORT PHILLIP,8,Metro
2:10:00,Monday,KNOX,2,Metro
6:40:00,Monday,GREATER GEELONG,6,Country
8:40:00,Monday,CASEY,8,Metro
5:30:00,Monday,BAW BAW,5,Country
4:45:00,Monday,GREATER BENDIGO,4,Country
9:14:00,Monday,FRANKSTON,9,Metro
6:50:00,Sunday,MITCHELL,6,Country
10:30:00,Monday,EAST GIPPSLAND,10,Country
9:30:00,Monday,GREATER GEELONG,9,Country
12:40:00,Monday,BAYSIDE,12,Metro
16:40:00,Monday,BOROONDARA,16,Metro
15:40:00,Monday,KINGSTON,15,Metro
16:40:00,Monday,MAROONDAH,16,Metro
17:55:00,Monday,BALLARAT,17,Country
17:45:00,Monday,CAMPASPE,17,Country
16:45:00,Monday,GREATER SHEPPARTON,16,Country
16:20:00,Monday,HOBSONS BAY,16,Metro
17:05:00,Monday,NILLUMBIK,17,Metro
19:30:00,Monday,KNOX,19,Metro
15:57:00,Monday,MILDURA,15,Country
18:05:00,Monday,HUME,18,Metro
16:16:00,Monday,GREATER DANDENONG,16,Metro
19:12:00,Monday,MONASH,19,Metro
17:52:00,Monday,HUME,17,Metro
18:00:00,Monday,FRANKSTON,18,Metro
21:50:00,Monday,LATROBE,21,Country
7:25:00,Monday,GOLDEN PLAINS,7,Country
14:00:00,Monday,KNOX,14,Metro
6:24:00,Tuesday,MELBOURNE,6,Metro
7:45:00,Tuesday,BALLARAT,7,Country
8:55:00,Tuesday,MORNINGTON PENINSULA,8,Metro
8:09:00,Tuesday,BAYSIDE,8,Metro
11:35:00,Tuesday,YARRA,11,Metro
21:05:00,Monday,GREATER DANDENONG,21,Metro
15:45:00,Monday,BAW BAW,15,Country
11:31:00,Tuesday,GREATER GEELONG,11,Country
9:45:00,Tuesday,BAYSIDE,9,Metro
13:46:00,Tuesday,MAROONDAH,13,Metro
18:30:00,Monday,MOONEE VALLEY,18,Metro
18:50:00,Wednesday,HUME,18,Metro
18:35:00,Wednesday,YARRA,18,Metro
20:00:00,Wednesday,GREATER DANDENONG,20,Metro
20:20:00,Wednesday,WYNDHAM,20,Metro
22:10:00,Wednesday,WYNDHAM,22,Metro
0:20:00,Thursday,BALLARAT,0,Country
6:35:00,Thursday,CASEY,6,Metro
7:17:00,Thursday,KINGSTON,7,Metro
9:00:00,Thursday,CORANGAMITE,9,Country
9:45:00,Thursday,YARRA,9,Metro
9:40:00,Thursday,MORNINGTON PENINSULA,9,Metro
11:45:00,Thursday,GREATER GEELONG,11,Country
11:28:00,Thursday,BASS COAST,11,Country
13:04:00,Saturday,HOBSONS BAY,13,Metro
14:30:00,Saturday,MURRINDINDI,14,Country
14:45:00,Saturday,STONNINGTON,14,Metro
14:51:00,Saturday,KINGSTON,14,Metro
12:24:00,Saturday,MOONEE VALLEY,12,Metro
16:45:00,Saturday,MORNINGTON PENINSULA,16,Metro
15:05:00,Saturday,MORNINGTON PENINSULA,15,Metro
17:50:00,Saturday,MORNINGTON PENINSULA,17,Metro
17:50:00,Saturday,MORELAND,17,Metro
15:45:00,Saturday,MOORABOOL,15,Country
18:00:00,Saturday,DAREBIN,18,Metro
19:15:00,Saturday,CASEY,19,Metro
18:35:00,Saturday,BRIMBANK,18,Metro
14:10:00,Thursday,BOROONDARA,14,Metro
15:05:00,Thursday,MONASH,15,Metro
10:50:00,Thursday,MELBOURNE,10,Metro
15:37:00,Thursday,YARRA,15,Metro
15:40:00,Thursday,MORELAND,15,Metro
16:22:00,Thursday,PORT PHILLIP,16,Metro
17:35:00,Thursday,MOONEE VALLEY,17,Metro
16:20:00,Thursday,YARRA RANGES,16,Metro
18:50:00,Thursday,CASEY,18,Metro
18:30:00,Thursday,STONNINGTON,18,Metro
21:35:00,Thursday,YARRA RANGES,21,Metro
18:25:00,Thursday,KINGSTON,18,Metro
19:00:00,Wednesday,MONASH,19,Metro
22:40:00,Thursday,BOROONDARA,22,Metro
6:15:00,Friday,CASEY,6,Metro
7:50:00,Friday,MELBOURNE,7,Metro
7:25:00,Friday,MARIBYRNONG,7,Metro
17:15:00,Wednesday,MORNINGTON PENINSULA,17,Metro
9:13:00,Friday,MELBOURNE,9,Metro
9:30:00,Friday,CAMPASPE,9,Country
7:30:00,Friday,MONASH,7,Metro
21:58:00,Thursday,MURRINDINDI,21,Country
6:25:00,Friday,DAREBIN,6,Metro
11:00:00,Friday,BALLARAT,11,Country
13:00:00,Friday,KINGSTON,13,Metro
6:00:00,Friday,MITCHELL,6,Country
12:25:00,Friday,MELBOURNE,12,Metro
13:05:00,Thursday,STRATHBOGIE,13,Country
15:00:00,Thursday,WHITTLESEA,15,Metro
14:35:00,Friday,CARDINIA,14,Metro
17:03:00,Friday,GREATER DANDENONG,17,Metro
15:00:00,Friday,KINGSTON,15,Metro
16:30:00,Friday,KNOX,16,Metro
15:50:00,Friday,TOWONG,15,Country
17:20:00,Friday,WANGARATTA,17,Country
17:30:00,Friday,LATROBE,17,Country
16:20:00,Friday,MELTON,16,Metro
18:45:00,Friday,HUME,18,Metro
19:35:00,Friday,MARIBYRNONG,19,Metro
22:45:00,Friday,GREATER SHEPPARTON,22,Country
2:10:00,Saturday,BOROONDARA,2,Metro
0:47:00,Saturday,BAYSIDE,0,Metro
23:03:00,Friday,WHITTLESEA,23,Metro
21:05:00,Friday,YARRA RANGES,21,Metro
10:00:00,Saturday,DAREBIN,10,Metro
5:40:00,Saturday,MONASH,5,Metro
17:00:00,Thursday,MAROONDAH,17,Metro
9:45:00,Saturday,MURRINDINDI,9,Country
8:39:00,Saturday,MELBOURNE,8,Metro
11:19:00,Saturday,STONNINGTON,11,Metro
12:30:00,Saturday,MITCHELL,12,Country
14:45:00,Wednesday,BANYULE,14,Metro
8:25:00,Wednesday,YARRA,8,Metro
8:35:00,Wednesday,DAREBIN,8,Metro
15:50:00,Tuesday,MELBOURNE,15,Metro
22:00:00,Tuesday,YARRA RANGES,22,Metro
9:55:00,Wednesday,KNOX,9,Metro
8:20:00,Wednesday,SURF COAST,8,Country
16:00:00,Tuesday,CASEY,16,Metro
10:20:00,Wednesday,KINGSTON,10,Metro
12:12:00,Wednesday,CARDINIA,12,Metro
12:08:00,Wednesday,MITCHELL,12,Country
22:00:00,Monday,MARIBYRNONG,22,Metro
13:35:00,Wednesday,MELBOURNE,13,Metro
13:50:00,Wednesday,MORELAND,13,Metro
12:30:00,Wednesday,MORELAND,12,Metro
15:43:00,Wednesday,BOROONDARA,15,Metro
15:00:00,Wednesday,MORNINGTON PENINSULA,15,Metro
16:00:00,Wednesday,HUME,16,Metro
13:15:00,Wednesday,MOONEE VALLEY,13,Metro
12:50:00,Tuesday,SOUTH GIPPSLAND,12,Country
15:50:00,Wednesday,LATROBE,15,Country
6:30:00,Tuesday,FRANKSTON,6,Metro
19:40:00,Monday,KNOX,19,Metro
16:35:00,Wednesday,YARRA RANGES,16,Metro
17:45:00,Wednesday,BALLARAT,17,Country
16:45:00,Wednesday,KINGSTON,16,Metro
17:30:00,Wednesday,MAROONDAH,17,Metro
8:40:00,Monday,MAROONDAH,8,Metro
10:15:00,Tuesday,MOONEE VALLEY,10,Metro
8:20:00,Tuesday,HEPBURN,8,Country
8:25:00,Monday,SOUTHERN GRAMPIANS,8,Country
