LGA_NAME,LGA_NAME_R,Accidents,Population,,,,,,,,,,
MELBOURNE,MELBOURNE,4236,"169,961",,,,,,,,,,
CASEY,CASEY,3054,"340,419",,,,,,,,,,
GEELONG,GEELONG,2813,"252,217",,,,,,,,,,
DANDENONG,GREATER DANDENONG,2557,"166,094",,,,,,,,,,
HUME,HUME,2389,,,,,,,,,,,
BRIMBANK,BRIMBANK,2353,"208,714",,,,,,,,,,
MONASH,MONASH,2217,"200,077",,,,,,,,,,
MORELAND,MORELAND,2190,"181,725",,,,,,,,,,
YARRA RANGES,YARRA RANGES,2164,"158,173",,,,,,,,,,
WHITTLESEA,WHITTLESEA,2151,"223,322",,,,,,,,,,
KINGSTON,KINGSTON,1844,"163,431",,,,,,,,,,
DAREBIN,DAREBIN,1827,"161,609",,,,,,,,,,
YARRA,YARRA,1803,"98,521",,,,,,,,,,
BOROONDARA,BOROONDARA,1682,"181,289",,,,,,,,,,
WYNDHAM,WYNDHAM,1664,"255,322",,,,,,,,,,
STONNINGTON,STONNINGTON,1625,"116,207",,,,,,,,,,
PORT PHILLIP,PORT PHILLIP,1546,"113,200",,,,,,,,,,
KNOX,KNOX,1533,"163,203",,,,,,,,,,
WHITEHORSE,WHITEHORSE,1532,"176,196",,,,,,,,,,
GLEN EIRA,GLEN EIRA,1519,"153,858",,,,,,,,,,
MORNINGTON PENINSULA,MORNINGTON PENINSULA,1509,"165,822",,,,,,,,,,
BENDIGO,GREATER BENDIGO,1465,"116,045",,,,,,,,,,
BALLARAT,BALLARAT,1345,"107,325",,,,,,,,,,
FRANKSTON,FRANKSTON,1287,"141,845",,,,,,,,,,
MELTON,MELTON,1248,"156,713",,,,,,,,,,
MOONEE VALLEY,MOONEE VALLEY,1246,"127,883",,,,,,,,,,
CARDINIA,CARDINIA,1153,"107,120",,,,,,,,,,
MAROONDAH,MAROONDAH,1132,"117,498",,,,,,,,,,
BANYULE,BANYULE,1094,"130,237",,,,,,,,,,
MARIBYRNONG,MARIBYRNONG,1045,"91,387",,,,,,,,,,
HOBSONS BAY,HOBSONS BAY,1028,"96,470",,,,,,,,,,
MANNINGHAM,MANNINGHAM,942,"125,508",,,,,,,,,,
BAYSIDE,BAYSIDE,933,"105,718",,,,,,,,,,
BAW BAW,BAW BAW,927,"52,015",,,,,,,,,,
SHEPPARTON,GREATER SHEPPARTON,855,"66,007",,,,,,,,,,
LATROBE,LATROBE,839,"75,211",,,,,,,,,,
EAST GIPPSLAND,EAST GIPPSLAND,758,"46,818",,,,,,,,,,
MITCHELL,MITCHELL,735,"44,299",,,,,,,,,,
WELLINGTON,WELLINGTON,702,"44,019",,,,,,,,,,
NILLUMBIK,NILLUMBIK,694,"64,941",,,,,,,,,,
