ACCIDENT_DATE,ACCIDENT_NO,Month,Year,LGA_NAME,STAT_DIV_NAME
1/07/2013,T20130013732,July,2013,MELBOURNE,Metro
1/07/2013,T20130013608,July,2013,WHITEHORSE,Metro
1/07/2013,T20130013611,July,2013,BRIMBANK,Metro
1/07/2013,T20130013617,July,2013,MITCHELL,Country
1/07/2013,T20130013620,July,2013,MELBOURNE,Metro
1/07/2013,T20130013621,July,2013,BAW BAW,Country
1/07/2013,T20130013622,July,2013,BAYSIDE,Metro
1/07/2013,T20130013630,July,2013,BOROONDARA,Metro
1/07/2013,T20130013638,July,2013,BOROONDARA,Metro
1/07/2013,T20130013641,July,2013,WHITEHORSE,Metro
1/07/2013,T20130013644,July,2013,BANYULE,Metro
1/07/2013,T20130013647,July,2013,HUME,Metro
1/07/2013,T20130013649,July,2013,WHITTLESEA,Metro
1/07/2013,T20130013650,July,2013,GREATER GEELONG,Country
1/07/2013,T20130013652,July,2013,BANYULE,Metro
1/07/2013,T20130013654,July,2013,HOBSONS BAY,Metro
1/07/2013,T20130013655,July,2013,NILLUMBIK,Metro
1/07/2013,T20130013656,July,2013,MELBOURNE,Metro
1/07/2013,T20130013657,July,2013,PORT PHILLIP,Metro
1/07/2013,T20130013658,July,2013,DAREBIN,Metro
1/07/2013,T20130013659,July,2013,YARRA,Metro
1/07/2013,T20130013662,July,2013,PORT PHILLIP,Metro
1/07/2013,T20130013668,July,2013,WHITEHORSE,Metro
1/07/2013,T20130013669,July,2013,LATROBE,Country
1/07/2013,T20130013671,July,2013,MOONEE VALLEY,Metro
1/07/2013,T20130013672,July,2013,PORT PHILLIP,Metro
1/07/2013,T20130013675,July,2013,KNOX,Metro
1/07/2013,T20130013678,July,2013,GREATER GEELONG,Country
1/07/2013,T20130013681,July,2013,CASEY,Metro
1/07/2013,T20130013709,July,2013,BAW BAW,Country
1/07/2013,T20130013712,July,2013,GREATER BENDIGO,Country
1/07/2013,T20130013730,July,2013,FRANKSTON,Metro
1/07/2013,T20130013807,July,2013,MITCHELL,Country
1/07/2013,T20130013830,July,2013,EAST GIPPSLAND,Country
1/07/2013,T20130014222,July,2013,GREATER GEELONG,Country
1/07/2013,T20130014077,July,2013,BAYSIDE,Metro
1/07/2013,T20130014576,July,2013,BOROONDARA,Metro
1/07/2013,T20130018675,July,2013,KINGSTON,Metro
1/07/2013,T20130018087,July,2013,MAROONDAH,Metro
1/07/2013,T20130017262,July,2013,BALLARAT,Country
1/07/2013,T20140005805,July,2013,CAMPASPE,Country
2/07/2013,T20130013736,July,2013,GREATER SHEPPARTON,Country
2/07/2013,T20130013737,July,2013,HOBSONS BAY,Metro
2/07/2013,T20130013738,July,2013,NILLUMBIK,Metro
2/07/2013,T20130013739,July,2013,KNOX,Metro
2/07/2013,T20130013740,July,2013,MILDURA,Country
2/07/2013,T20130013742,July,2013,HUME,Metro
2/07/2013,T20130013743,July,2013,GREATER DANDENONG,Metro
2/07/2013,T20130013744,July,2013,MONASH,Metro
2/07/2013,T20130013746,July,2013,HUME,Metro
2/07/2013,T20130013749,July,2013,FRANKSTON,Metro
2/07/2013,T20130013751,July,2013,LATROBE,Country
2/07/2013,T20130013752,July,2013,GOLDEN PLAINS,Country
2/07/2013,T20130013753,July,2013,KNOX,Metro
2/07/2013,T20130013754,July,2013,MELBOURNE,Metro
2/07/2013,T20130013755,July,2013,BALLARAT,Country
2/07/2013,T20130013758,July,2013,MORNINGTON PENINSULA,Metro
2/07/2013,T20130013760,July,2013,BAYSIDE,Metro
2/07/2013,T20130013761,July,2013,YARRA,Metro
2/07/2013,T20130013764,July,2013,GREATER DANDENONG,Metro
2/07/2013,T20130013770,July,2013,BAW BAW,Country
2/07/2013,T20130013772,July,2013,GREATER GEELONG,Country
2/07/2013,T20130013687,July,2013,BAYSIDE,Metro
2/07/2013,T20130013688,July,2013,MAROONDAH,Metro
2/07/2013,T20130013690,July,2013,MOONEE VALLEY,Metro
2/07/2013,T20130013693,July,2013,HUME,Metro
2/07/2013,T20130013706,July,2013,YARRA,Metro
2/07/2013,T20130013716,July,2013,GREATER DANDENONG,Metro
2/07/2013,T20130013718,July,2013,WYNDHAM,Metro
2/07/2013,T20130013719,July,2013,WYNDHAM,Metro
2/07/2013,T20130013781,July,2013,BALLARAT,Country
2/07/2013,T20130013782,July,2013,CASEY,Metro
2/07/2013,T20130013793,July,2013,KINGSTON,Metro
2/07/2013,T20130013827,July,2013,CORANGAMITE,Country
2/07/2013,T20130013829,July,2013,YARRA,Metro
2/07/2013,T20130022238,July,2013,MORNINGTON PENINSULA,Metro
2/07/2013,T20140009331,July,2013,GREATER GEELONG,Country
2/07/2013,T20140018616,July,2013,BASS COAST,Country
3/07/2013,T20130013769,July,2013,HOBSONS BAY,Metro
3/07/2013,T20130013773,July,2013,MURRINDINDI,Country
3/07/2013,T20130013776,July,2013,STONNINGTON,Metro
3/07/2013,T20130013777,July,2013,KINGSTON,Metro
3/07/2013,T20130013838,July,2013,MOONEE VALLEY,Metro
3/07/2013,T20130013840,July,2013,MORNINGTON PENINSULA,Metro
3/07/2013,T20130013845,July,2013,MORNINGTON PENINSULA,Metro
3/07/2013,T20130013848,July,2013,MORNINGTON PENINSULA,Metro
3/07/2013,T20130013849,July,2013,MORELAND,Metro
3/07/2013,T20130013943,July,2013,MOORABOOL,Country
3/07/2013,T20130014021,July,2013,DAREBIN,Metro
3/07/2013,T20130013778,July,2013,CASEY,Metro
3/07/2013,T20130013779,July,2013,BRIMBANK,Metro
3/07/2013,T20130013783,July,2013,BOROONDARA,Metro
3/07/2013,T20130013785,July,2013,MONASH,Metro
