year,month_abb,month,Country,metropolitan
2014,Jan,January,373,718
2014,Feb,February,276,864
2014,Mar,March,411,924
2014,Apr,April,323,853
2014,May,May,333,952
2014,Jun,June,303,853
2014,Jul,July,286,825
2014,Aug,August,325,842
2014,Sep,September,302,778
2014,Oct,October,385,892
2014,Nov,Novermber,370,875
2014,Dec,December,349,831
2015,Jan,January,342,827
2015,Feb,February,334,815
2015,Mar,March,401,949
2015,Apr,April,358,885
2015,May,May,349,947
2015,Jun,June,312,759
2015,Jul,July,324,878
2015,Aug,August,292,772
2015,Sep,September,302,752
2015,Oct,October,364,926
2015,Nov,Novermber,345,845
2015,Dec,December,372,977
2016,Jan,January,375,752
2016,Feb,February,360,930
2016,Mar,March,407,888
2016,Apr,April,357,927
2016,May,May,384,927
2016,Jun,June,331,822
2016,Jul,July,367,817
2016,Aug,August,341,850
2016,Sep,September,270,756
2016,Oct,October,350,825
2016,Nov,Novermber,321,856
2016,Dec,December,393,743
2017,Jan,January,335,640
2017,Feb,February,321,784
2017,Mar,March,350,899
2017,Apr,April,355,681
2017,May,May,289,761
2017,Jun,June,292,688
2017,Jul,July,253,679
2017,Aug,August,266,697
2017,Sep,September,251,600
2017,Oct,October,275,763
2017,Nov,Novermber,307,783
2017,Dec,December,333,679
2018,Jan,January,311,610
2018,Feb,February,285,679
2018,Mar,March,332,766
2018,Apr,April,270,671
2018,May,May,277,709
2018,Jun,June,245,644
2018,Jul,July,287,657
2018,Aug,August,232,701
2018,Sep,September,251,567
2018,Oct,October,246,717
2018,Nov,Novermber,246,644
2018,Dec,December,207,623
