Date,Counts
17/04/2015,77
9/12/2015,67
29/04/2016,67
4/12/2015,66
18/12/2014,64
9/04/2014,64
18/03/2016,63
10/03/2016,63
30/04/2014,61
31/07/2015,61
22/01/2016,61
13/05/2014,61
26/03/2014,60
21/04/2017,59
6/05/2016,59
5/02/2016,59
25/10/2014,58
2/06/2016,58
22/10/2015,58
21/11/2014,58
1/08/2016,58
24/11/2017,57
7/05/2016,57
18/12/2015,57
24/11/2015,57
4/12/2013,57
8/03/2014,57
29/01/2016,57
2/05/2014,57
4/06/2016,56
20/05/2015,56
20/10/2014,56
22/11/2016,56
27/02/2017,56
16/05/2015,56
17/12/2014,56
23/06/2017,56
27/03/2014,55
3/06/2016,55
5/02/2014,55
8/04/2014,55
5/02/2015,55
18/05/2015,55
16/07/2014,55
13/01/2015,55
21/04/2016,54
17/12/2015,54
25/03/2015,54
16/07/2016,54
3/03/2016,54
20/10/2015,54
15/08/2014,54
22/07/2016,54
7/03/2014,54
8/10/2016,54
22/03/2016,54
15/04/2016,54
14/10/2015,54
13/10/2016,54
19/05/2015,53
8/10/2013,53
20/11/2014,53
27/01/2016,53
12/10/2013,53
12/01/2015,53
16/11/2016,53
24/01/2014,53
21/03/2014,53
23/02/2016,53
30/08/2014,53
14/04/2015,53
20/11/2016,53
3/04/2015,53
15/04/2015,53
7/04/2017,53
5/09/2014,53
9/02/2016,53
19/02/2014,53
28/05/2015,53
4/03/2015,53
1/03/2014,53
8/11/2013,52
1/03/2016,52
12/06/2015,52
20/05/2014,52
29/07/2016,52
10/12/2015,52
16/02/2016,52
14/10/2016,52
25/06/2014,52
24/07/2015,52
13/07/2016,52
10/07/2013,52
6/03/2018,52
13/05/2016,52
10/10/2013,52
6/05/2014,52
9/10/2015,52
6/02/2015,52
1/10/2015,52
15/12/2015,52
29/04/2014,51
20/02/2014,51
20/09/2013,51
1/08/2013,51
9/09/2016,51
29/10/2015,51
7/12/2015,51
31/10/2014,51
8/05/2014,51
6/04/2016,51
23/11/2017,51
11/12/2016,51
8/12/2015,51
19/08/2013,51
21/03/2017,51
27/02/2018,51
11/12/2015,51
9/12/2013,51
19/03/2015,51
20/12/2014,51
25/05/2016,51
19/04/2016,51
17/11/2015,51
29/03/2014,50
18/09/2014,50
11/11/2014,50
